Pokemon,Description
NidoqueenNidokuin(ニドクイン)(0031),"It is more defensively focused than its male counterpart, Nidoking. It can poison prey with its spikes, cause tremors, or knock opponents flying with tackles. It is protective of its children, carrying them in the gaps between its spines, and sealing its burrow. While around its young, its spikes do not secrete poison. Despite Pokédex and anime descriptions, it and Nidorina cannot breed, though Nidoran♀ can.[24]"
Nidoran♂Nidoran♂(ニドラン♂)(0032),"It flaps its ears around to detect potential opponents' footsteps. It injects poison into its prey with its horn. It lives with its female equivalent, and may risk its life to protect its female counterpart."
NidorinoNidorīno(ニドリーノ)(0033),"Its horn and the spikes around its body are laced with poison, and its horn is harder than diamond. It uses its horn to break rocks to find Moon Stones, which it uses to evolve."
NidokingNidokingu(ニドキング)(0034),"It is more offensively-focused than its female counterpart, Nidoqueen. Its tail can topple transmission towers and crush its opponents' bones, its horn can crush diamonds, and its hide is as hard as steel. If it begins to rampage, only a Nidoqueen it has lived with for a long time can calm it down."
ClefairyPippi(ピッピ)(0035),"Timid creatures, they rarely come out, only appearing in groups to dance under a full moon. While dancing, the nearby area is enveloped in a magnetic field."
ClefablePikushī(ピクシー)(0036),"It and Clefairy are said to have come from the moon, and spend full moon nights staring at it. Its hearing is acute, being able to hear pin drops from up to 1,100 yards away, so it lives in quiet mountainous areas. Its steps are light and floaty enough to allow it to walk on water."
VulpixRokon(ロコン)(0037),"When it is born, it has one white tail that sprouts into 6 curled ones at the tip as it gets older. It can freely control fire, creating will-o-wisps that are commonly mistaken for ghosts. Before it evolves, its tails glow hotter than usual. If not properly groomed, its tails will tangle up. If raised young, it will follow its trainer like a puppy. It has an Ice-typeAlolan form. It has been selected as an ""ambassador"" forHokkaido,[25][26]and it and its Alolan form have been featured in the livery of anAir DoBoeing 767aircraft.[27]"
NinetalesKyūkon(キュウコン)(0038),"Its design is inspired by thenine-tailed foxof East Asian myth.[28]It can understand human speech, use its psychic power to control minds, and curse anyone who mistreats it. According to legends, nine saints reincarnated as Ninetales, and each of its tails has a different ability. It has an Ice/Fairy-typeAlolan form."
JigglypuffPurin(プリン)(0039),"It is a playable character in everySuper Smash Bros.game. It can inflate itself like a balloon to float around and it can sing. Its voice's wavelength can match the brain waves of sleeping people and Pokémon, lulling them to sleep. If the foe does not fall asleep, it can risk its life by singing until it runs out of air. It also keeps singing if the foe does fall asleep."
WigglytuffPukurin(プクリン)(0040),"By inhaling air, it can inflate itself to up to 20 times its size, and float around. It does so to scare opponents away or compete with other Wigglytuff."
ZubatZubatto(ズバット)(0041),"Zubat has evolved to not have eyes or nostrils, so it uses echolocation to find its way. It hides in dark places while the sun is out, as its skin is sensitive to bright lights. Groups of Zubat will gather around in the cold to heat each other's bodies."
GolbatGorubatto(ゴルバット)(0042),"Its fangs are hollow like straws. It uses them to stab through the hide of its prey, but may break them when trying to bite a Steel-type Pokémon. It may sometimes suck so much blood that its blood type changes to that of its prey, and its weight leaves it unable to fly, making it easy prey."
OddishNazonokusa(ナゾノクサ)(0043),"It buries itself in the soil to absorb the nutrients and to sleep during the day. If pulled out, it starts screaming. A nocturnal Pokémon, it wanders around to scatter seeds and absorb moonlight. It is one of the few species with ascientific name; ""Oddium Wanderus""."
GloomKusaihana(クサイハナ)(0044),"Its leaves and the drool-like nectar on its mouth smell rancid enough to cause fainting in a mile-wide radius, though some people enjoy the smell, and some use it to produce perfume. It amplifies the odor when in danger, and stops emitting it when safe."
VileplumeRafureshia(ラフレシア)(0045),"Vileplume's large petals can be shaken or forcibly bloomed to release clouds of pollen that poison and paralyze anything near it, which it uses to weaken its prey before eating it. Walking around causes it to spread pollen around, turning the air around it yellow."
ParasParasu(パラス)(0046),"Paras hastochukasomushrooms growing on its back. They drain nutrients from the host and control it into draining nutrients from trees. Their spores can be used to make medicine. In Alola, those spores do not grow properly."
ParasectParasekuto(パラセクト)(0047),"The tochukaso mushrooms have completely drained the Paras's body of its nutrients and taken it over. Groups of Parasect will gather around a tree, suck the nutrients out of it, and move to the next tree when it dies. Its spores can be made into medicine. Parasect in Alola are known to compete with Shiinotic, and have lower-quality spores. The bug is mostly dead, so removing the mushroom causes it to stop moving entirely."
VenonatKonpan(コンパン)(0048),"It uses its compounded eyes as a radar to locate prey in the dark, and can shoot light beams from them. It hunts for small bug Pokémon at night."
VenomothMorufon(モルフォン)(0049),"Its wings have scales that leak venom when in contact with its opponent's skin. Lighter scales can cause paralysis, and darker ones are poisonous. A nocturnal Pokémon, it goes out at night to hunt for prey. It is attracted to bright lights."
DiglettDiguda(ディグダ)(0050),"Some farmers like to use Diglett and Dugtrio to plough the soil for crops to grow, and some consider them pests for eating crops. No one has ever seen the full body of a Diglett. It has a Ground/Steel-typeAlolan form."
DugtrioDagutorio(ダグトリオ)(0051),"Dugtrio is a three-headed Diglett. It can burrow at a speed of 60 miles per hour, and up to 60 miles underground. Like Diglett, no one has ever seen its full body. Occasionally, they will fight over which head gets to eat first. Like Diglett, Dugtrio has a Ground/Steel-typeAlolan form."
MeowthNyāsu(ニャース)(0052),"One of the main members of Team Rocket in thePokémonanimeseries. Meowth withdraws its claws into its paws to sneak around without leaving footsteps. It loves round and shiny objects, coins being its favorite toys, which it will play with until it falls asleep. It sleeps during the daytime, and patrols its territory during the night, looking for loose change. It tends to fight with Murkrow over shiny objects. Giving coins to a Meowth can make it friendlier, but no less fickle. Meowth has a Dark-type Alolan form, and a Steel-typeGalarian form, which evolves intoPerrserker. It gained aGigantamax formin generation VIII. Meowth is a popular Pokémon among fans of the series, primarily due to its role on the villainous organizationTeam Rocket.[29][30][31][32]It has widely been used in promotion for the series.[33][34][35][36]"
PersianPerushian(ペルシアン)(0053),"Its fur and jewel make it popular with the rich, but its fickle, uncaring attitude makes it hard to raise. Though it will attack anyone without provocation, including its trainer, pulling on its whiskers will temporarily make it docile. It has a Dark-typeAlolan form, and a Galarian counterpart inPerrserker, whose barbaric habits clash with both Persian's elegance and ego. A Persian is owned by Team Rocket's leader Giovanni in thePokémonanimeseries."
PsyduckKodakku(コダック)(0054),"It has constant headaches. When they worsen, normally inactive brain cells activate, causing it to accidentally unleash psychic energy. It then forgets that it used those powers."
GolduckGorudakku(ゴルダック)(0055),"It was almost hunted to extinction by hunters wanting the jewel on its forehead, believing it would grant them supernatural powers. Its psychic abilities are superior to Psyduck's. It swims effortlessly, even in rough, stormy seas. It is known to rescue people from wrecked ships."
MankeyMankī(マンキー)(0056),"Nearly anything will anger it, and when it gets angry, it will immediately attack, giving its opponent no time to flee. If it does flee or is left alone, the loneliness will make it angrier. If one Mankey in a colony gets mad, the rest will rampage with it."
PrimeapeOkorizaru(オコリザル)(0057),"Getting angry causes Primeape's blood to rush faster than usual, tightening its body muscles, but making it dumber. Any form of stimuli will anger it, even while it is asleep. It can get so angry that it dies as a result, but looks peaceful in death."
GrowlitheGādi(ガーディ)(0058),"Growlithe are friendly, loyal, and have a strong sense of smell, making them popular as guard and police dogs. It will remain motionless until it is given an order by its Trainer. Growlithe bones have been found in ruins from the Stone Age, implying that humans have used them since then. It is based on theShisa. It has a Fire/Rock-typeHisuian form."
ArcanineUindi(ウインディ)(0059),"Arcanine is a fan-favorite Pokémon and has been described as having ""the mane of a lion... the stripes of a tiger [and] the speed of a panther"".[37][38][39]It has been admired since the past for its beauty. It runs agilely as if on wings. Arcanine is known for its great speed, as it is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes within Arcanine's body is its source of power. Legends tell of its fighting alongside a general and conquering a whole country. There are so many old tales about them that Arcanine is spoken of and categorized in the Pokédex as the Legendary Pokémon, though it is a common wild Pokémon. Like Growlithe, it has a Fire/Rock-typeHisuian form."
PoliwagNyoromo(ニョロモ)(0060),"Due to its underdeveloped legs, it is not good at standing or walking, so it prefers swimming, though its trainer should train it to walk every day. Despite the danger, it wants to come up on land, so it does its best to waddle along, but when an enemy finds it, it rushes back to the water. Poliwag's thin skin leaves its spiraling innards visible. If the swirl is tinged white, that means Poliwag is sick. Despite its thinness, its skin is flexible and slimy, so even sharp fangs bounce off of it. The direction of its spiral tends to differ by area. Poliwag experts can tell them apart at a glance. In rivers with fast-flowing water, it will cling to a rock by using its lips, which act like a suction cup."
PoliwhirlNyorozo(ニョロゾ)(0061),"Poliwhirl is among the most-marketed Pokémon.[40][41]It can live in or out of the water, but prefers living in water where, it has fewer natural enemies and more plentiful prey. When out of water, it constantly sweats so its body is always wet and slick with an oily fluid. Because of this, it can easily slip out of the clutches of its enemies. Its health suffers when its skin dries out, so trainers have to keep it moist. It goes on land in search of bug Pokémon, then takes them underwater so it can safely eat them. The spiral pattern on its belly subtly moves, and staring at it for too long can lead children and Pokémon to sleep."
PoliwrathNyorobon(ニョロボン)(0062),"A skilled swimmer, it can outswim professional athletes with ease, and children imitate its movements to learn to swim. It is also skilled in martial arts, and strong enough to punch boulders into dust. Despite being adapted to life in water, it chooses to live in dry land."
AbraKēshii(ケーシィ)(0063),"Even when sleeping, which Abra does for most of its life, it can sense danger with its highly potent psychic power. When it is in danger, it will teleport to safety. Its powers may be affected by what it is dreaming about."
KadabraYungerā(ユンゲラー)(0064),"In November 2000, Israeli magicianUri Gellersued Nintendo, claiming Kadabra embodies an unauthorized appropriation of his identity.[42][43][44]However, in 2020, he released a claim that Nintendo could use Kadabra in cards again.[45]Some Kadabra are theorized to have once been human children who could not control their powers. Its psychic powers can cause clocks to run backwards, or other devices to stop functioning."
AlakazamFūdin(フーディン)(0065),"Its brain cells multiply infinitely with age, amplifying its psychic powers and allowing it to remember everything since its hatching as an Abra. Its muscles are weak, so it lifts its body with its psychic powers. It may give its spoons to someone it trusts. It gained aMega Evolutionin generation VI."
MachopWanrikī(ワンリキー)(0066),"Machop's muscles never get sore. It trains itself by lifting Graveler. Stronger, more confident Machop will compete withMakuhita."
MachokeGōrikī(ゴーリキー)(0067),"Machoke is typically used for heavy lifting jobs due to its strength.Its belt regulates its power, and it only removes it when faced with a particularly powerful opponent."
MachampKairikī(カイリキー)(0068),"Machamp has four arms. It can throw around 500 punches in one second and move mountains with one arm. It has poor reflexes and dexterity, with its arms reacting faster than Machamp can think, and getting tangled up when doing delicate tasks. As with Machoke, its belt regulates its power, with more destructive consequences when removed. It gained aGigantamax formin generation VIII."
BellsproutMadatsubomi(マダツボミ)(0069),"It can plant itself into the ground to absorb moisture, but is unable to move while rooted. It can spit acid from its mouth."
WeepinbellUtsudon(ウツドン)(0070),"It has a hook on its rear-end that it hooks on trees with and sleeps, but it may fall off if it moves around too much. If it cannot dissolve its prey with acid, it will cut them with its sharp leaves."
VictreebelUtsubotto(ウツボット)(0071),"Groups of Victreebel wait in temperate forests for unsuspecting prey to walk into their mouths, mistaking their acid for nectar. The more prey it has consumed, the sweeter its acid smells."
TentacoolMenokurage(メノクラゲ)(0072),"It is 99% composed of water, with the other 1% being an organ that generates poison. If its tentacles are broken off, they can grow back quickly. Its body shrivels up while outside of water, but its poison does not. Though it is visually similar toToedscool, the two species are not biologically related."
TentacruelDokukurage(ドククラゲ)(0073),"Its 80 tentacles can grow back or shrink at will, and it uses them to constrict its prey while immobilizing it with poison. While rare, Tentacruel tend to hunt in groups. Though it is visually similar toToedscruel, the two species are not biologically related."
GeodudeIshitsubute(イシツブテ)(0074),"Geodude are proud of their hard bodies, showing them off or competing with Roggenrola, Carbink, or other Geodude to see who is the hardest. Groups of Geodude sit still in mountainous routes, so unsuspecting people often mistake them for ordinary rocks. It has a Rock/Electric-typeAlolan form."
GravelerGorōn(ゴローン)(0075),"It tumbles down mountains for transportation or fun, breaking most of what it crashes into. It does not mind if pieces of itself fall or are scraped off, as they can grow back. It has a Rock/Electric-typeAlolan form."
GolemGorōnya(ゴローニャ)(0076),"It sheds its skin once a year to grow, which in turn crumbles into nutritious soil. It can withdraw its head and limbs into its hollow shell to roll around and down mountains, trampling whatever it passes through. To avoid crushing property, people dig grooves into mountains to guide it. Older Golem stop shedding and have moss growing on their shells. It has a Rock/Electric-typeAlolan form."
PonytaPonīta(ポニータ)(0077),"When born, it cannot stand properly and runs with its parents to strengthen its legs. It can choose when its flames can burn people or not. It has a Psychic-typeGalarian form."
RapidashGyaroppu(ギャロップ)(0078),"As a popular Pokémon, Rapidash is considered ""universally appealing"" to fans of cute and cool Pokémon alike. Both Ponyta and Rapidash can enable their body's flames to be harmful or harmless as seen in the anime.[46][47][48][49]A competitive Pokémon, if it sees anything faster than it, such as a car or another Pokémon, it will run at up to 150 mph to try to outrun it. At that point, its hooves barely touch the ground. It can traverse all ofHisuiin a day and a half. The faster it goes, the longer its mane becomes. Otherwise, it can be seen cantering in fields. It has a Psychic/Fairy-typeGalarian form."
SlowpokeYadon(ヤドン)(0079),"Slowpoke is dumb and lazy, to the point of taking up to five seconds to process pain. It lives on the edges of bodies of water and uses its tail to fish for prey, but may take a day to notice that its tail has already been bitten off. Some cultures believe its yawns bring rain, and worship it. It evolves into Slowbro when a Shellder bites its tail, or into Slowking when it bites its head. It has a Psychic-typeGalarian form."
SlowbroYadoran(ヤドラン)(0080),"Slowpoke has fished up a Shellder with its tail, which shocked it into evolving and made it stand on two legs. The Shellder has transformed into a spiral-shaped shell to suck more sweet fluids from the Slowbro's tail. If the Shellder were to detach itself from Slowbro in any way, it will devolve back to Slowpoke. Being slow-witted to begin with, the Slowbro does not feel pain in its tail because of Shellder's seeping poison. Since its tail has been bitten by Shellder, it has to grudgingly swim for prey instead. Whenever Shellder bites harder on its tail, it gives Slowbro a flash of inspiration, which it forgets a moment later. It gained aMega Evolutionin generation VI. It has a Poison/Psychic-typeGalarian form."
MagnemiteKoiru(コイル)(0081),"The two magnets on its side are used for discharging attacks and floating. It is attracted to electromagnetic waves from devices such as Pokégears, and attaches itself to power breakers. Power outages not caused by storms could be the result of a colony of Magnemite feeding on it. It becomes incapable of flight if it out of electricity. The two magnets on its side are powerful enough to draw in iron objects from up to 300 feet away, and get stronger the faster they spin. Touching it while it is eating electricity will give a full body shock. Its numbers have been decreasing because most modern power lines are buried under the ground."
MagnetonReakoiru(レアコイル)(0082),"Formed when several Magnemite fuse together, it tends to raise the temperature up by 3.6 °F within 3,600 ft (1,100 m). It generates strange radio signals. Groups of Magneton tend to gather where sun flares happen. Exposure to one can cause earaches. Its magnetism is so powerful it dries up moisture in its vicinity, and is potentially fatal to devices like TVs. As a result, large cities have sirens to warn their citizens of Magneton appearances, and trainers are warned to keep Magneton inside their Poké Balls. When it evolves, the Magnemite's brains link up, though they do not become three times smarter. When rain clouds form, they like to gather in high spots where lightning could strike.Sandy Shocksappears to be an ancient relative of it."
Farfetch'dKamonegi(カモネギ)(0083),"It carries around a green onion stalk like a sword. It apparently knows where the best ones are and will fight other Farfetch'd over them. In emergencies, it will eat them, and then run off to find a new one. Farfetch'd were so rare at one point that people bred them to regrow the population. Since it cannot live without it, it will defend its stalk with its life. It has a Fighting-typeGalarian form."
DoduoDōdō(ドードー)(0084),"Its short wings make flying difficult, so it has instead become a powerful runner, being able to reach speeds of 60 mph. Both heads have identical brains, though it is believed that some Doduo have different brains. It raises and lowers its heads to maintain balance while running. One head will stay on alert while the other sleeps."
DodrioDōdorio(ドードリオ)(0085),"The head with the thickest neck is deemed the leader, and has control over the body. The three heads express joy, sorrow, and anger as they plan strategies together. If they cannot agree on something to do or overthink their plans, they will be unable to move. When two heads sleep, one head remains awake. It has three hearts and six lungs, giving it increased endurance, so while it is slower than Doduo, it can run for longer periods of time."
SeelPauwau(パウワウ)(0086),"It loves swimming around in 14 °F waters. Its horn is hard enough to bash its way through ice. It has a thick hide covered in warm fur. It goes in waters up to -40 °F. Though not a great walker, it is a skilled swimmer. It closes its nostrils when it swims. In the daytime, it can be found sleeping on the seabed of shallow waters. Their presence in the Alolan climate is considered a mystery."
DewgongJugon(ジュゴン)(0087),"Dewgong can store thermal energy in its body to withstand cold temperatures. At night, it hunts for prey likeWishiwashi, and during the day, it sleeps on ice or shallow water, or sunbathes on beaches. A fisherman once mistook a Dewgong on an iceberg for a mermaid."
GrimerBetobetā(ベトベター)(0088),"Being mostly composed of poisonous filth, it can squeeze into sewage pipes with ease. Grimer lived mostly in urban cities, factories, and lakes, where it could find waste to consume, though environmental improvements have caused its population to start dwindling. It has a Poison/Dark-typeAlolan form."
MukBetobeton(ベトベトン)(0089),"It is based on the dorotabō, a one-eyed, three-fingeredyōkaithat rises from the mud of neglected, overgrown rice fields. Muk is covered in a toxic filthy sludge so vile that any land it walks through becomes inhospitable for up to three years. A drop of its body fluid can turn a pool rancid or leave a person bedridden for days. Its nose has devolved, so it cannot smell anything. It feeds on anything repugnant and filthy, like sewer water. Its numbers have started declining since people have begun cleaning up towns, and because some people think it may go extinct, sludge pools are being built to prevent this. Like Grimer, it has a Poison/Dark-typeAlolan form."
ShellderSherudā(シェルダー)(0090),"Tugging on its tongue, which is always sticking out, will startle it into opening its shell. It opens and closes its shell in rapid succession to propel itself backwards. Shellder have been known to seek out Slowpoke's tails, inadvertently causing them to evolve into Slowbro. Biting its head will instead cause it to evolve into Slowking. It and Cloyster are related to theShellosline."
CloysterParushen(パルシェン)(0091),It normally keeps its shell closed unless it is attacking. It uses the same projectile system — swallowing seawater and ejecting it from the front or rear — to shoot its spikes and swim. Its internal anatomy has yet to be seen.
GastlyGōsu(ゴース)(0092),"It hides under structures to stop the wind from blowing away its gaseous body. It engulfs prey of any size with its gas, poisoning it through its skin or suffocating it."
HaunterGōsuto(ゴースト)(0093),"Because of its ability to slip through walls, Haunter is said to be from another dimension. It saps its victims' life by licking them with its cold, gaseous tongue. Those licked by it grow weaker with each passing day, shaking uncontrollably until they die. If one trips and falls for no apparent reason or hear a sound when no one is around, it may be a Haunter. Because it fears the light and revels in the dark, it may be on the verge of extinction in cities that stay brightly lit at night. On moonless nights, Haunter searches for someone to curse."
GengarGengā(ゲンガー)(0094),"Gengar seeps into the shadows of people and Pokémon to scare them for fun or eat their life force. A sudden chill of 10 °F or cooler may be a Gengar trying to curse someone. Gengar will lurk in whatever dark corner of a room it can find and wait for its chance to catch its prey. It likes to attack people in mountains. Sometimes, Gengar will pose as people's shadows. It apparently wishes for a traveling companion. Since it may have once been human, it tries to create one by taking the lives of other humans. Initially created bySatoshi TajiriandKen Sugimori,[50][51]it has become one of the most popular Pokémon, placing tenth on theGooglePokémon of the Year 2020poll.[52]Kotaku'sZack Zwiezen said Gengar was ""one of [their] favorite gen 1 designs"", calling it a ""great design [because] it's simple, yet not boring or generic"".[53]Gengar has appeared in many Pokémon spin-offs or crossovers, includingPokkén Tournament[54]andPokémon Unite.[55]It gained aMega Evolutionin generation VI and aGigantamax formin generation VIII."
OnixIwāku(イワーク)(0095),"It usually lives underground. As it grows, the stone portions of its body harden to become similar to a diamond, but colored black. Despite its large body being over 26 feet long, it can squirm its way through the ground at 50 mph. As it digs through the ground, it eats hard objects, which makes its body more solid. Diglett may use the tunnels it burrows as homes. Onix has a magnet in its brain, which acts as a compass so that it does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother. It evolves into Steelix when traded while holding a Metal Coat.[8][56][57][58]While its Defense and Speed are high, Onix' other values are deceptively low, making it a relatively weak Rock-type choice compared to Golem and Rhydon.[59]"
